lat,lon,elev,desc
9980989.937,282747.805,2023.324,pvt
9980990.592,282748.596,2023.367,pvt
9980995.969,282744.981,2023.33,pvt
9980995.449,282744.233,2023.313,pvt
9980993.445,282745.353,2023.253,sh
9980997.257,282741.369,2023.242,sh
9981000.892,282744.952,2023.402,sh
9981004.714,282741.279,2023.464,sh
9981002.795,282738.051,2023.337,sh
9981006.472,282734.409,2023.389,sh
9981009.121,282736.669,2023.483,sh
9981012.394,282738.994,2023.664,sh
9981016.938,282735.891,2023.867,tr
9981013.604,282733.923,2023.671,sh
9981011.707,282734.361,2023.798,tr
9981009.477,282732.505,2023.556,tr
9981010.715,282729.869,2023.594,sh
9981015.121,282731.256,2023.767,tr
9981014.137,282728.437,2023.617,sh
9981012.254,282726.103,2023.549,tr
9981017.408,282723.166,2023.371,sh
9981018.683,282726.378,2023.504,sh
9981020.094,282729.021,2023.554,sh
9981021.132,282731.432,2023.628,sh
9981022.487,282734.439,2023.924,sh
9981023.88,282737.799,2024.211,sh
9981022.987,282737.878,2024.121,tr
9981021.533,282735.955,2023.939,sh
9981018.501,282738.189,2023.894,sh
9981021.441,282741.129,2024.046,sh
9981018.647,282745.032,2024.062,sh
9981015.928,282743.138,2023.888,sh
9981011.402,282743.141,2023.742,sh
9981003.702,282748.998,2023.702,sh
9981007.088,282744.663,2023.621,sh
9981008.55,282747.489,2023.834,sh
9981011.691,282747.449,2023.855,sh
9981014.618,282750.316,2024.047,Gt
9981010.36,282755.888,2024.135,Gt
9981008.878,282752.396,2023.967,sh
9981007.348,282756.24,2024.026,sh
9981004.989,282759.37,2024.105,tr
9981001.122,282753.288,2023.694,tr
9980998.153,282755.601,2023.72,sh
9981000.47,282758.034,2023.894,sh
9981004.755,282759.418,2024.155,sh
9981004.213,282760.214,2024.01,sh
9981003.503,282761.461,2024.04,cable 
9981001.072,282762.981,2024.058,HS
9980996.657,282758.214,2023.865,HS
9980994.532,282760.179,2023.91,HS
9980998.787,282765.064,2024.109,HS
9980996.665,282763.602,2024.06,sh
9980999.062,282766.572,2024.183,sh
9981024.246,282737.893,2024.165,TP2
9980998.663,282771.883,2024.403,TP1
